,Cocktail Name,Ingredients,Garnish,Preparation,All Ingredients
106,FOXY LADY,"Light cream, Creme de Cacao, Amaretto, ",,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","Light cream, Creme de Cacao, Amaretto, ,"
108,FRISCO SOUR,"Lime, Lemon, Lime, Lemon, Benedictine, Blended whiskey, ",,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,"Lime, Lemon, Lime, Lemon, Benedictine, Blended whiskey, ,"
109,FIGGY THYME,"Tonic Water, Angostura Bitters, Thyme, Figs, Honey, Vodka, ",,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.","Tonic Water, Angostura Bitters, Thyme, Figs, Honey, Vodka, ,"
110,FREDDY KRUGER,"Vodka, Sambuca, Jägermeister, ",,make it an ample size shot!!,"Vodka, Sambuca, Jägermeister, ,"
111,FUZZY ASSHOLE,"Peach schnapps, Coffee, ",,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,"Peach schnapps, Coffee, ,"
112,FUNK AND SOUL,"Soda Water, lemon, Pomegranate juice, Apricot Nectar, Rum, ",,Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,"Soda Water, lemon, Pomegranate juice, Apricot Nectar, Rum, ,"
113,FRENCH MARTINI,"pineapple juice, Raspberry Liqueur, Vodka, ",,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,"pineapple juice, Raspberry Liqueur, Vodka, ,"
114,FRENCH NEGRONI,"Orange Peel, Sweet Vermouth, Lillet, Gin, ",,"Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.","Orange Peel, Sweet Vermouth, Lillet, Gin, ,"
115,FLYING DUTCHMAN,"Triple sec, Gin, ",,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.","Triple sec, Gin, ,"
116,FROZEN DAIQUIRI,"Ice, Cherry, Sugar, Lime juice, Triple sec, Light rum, ",,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.","Ice, Cherry, Sugar, Lime juice, Triple sec, Light rum, ,"
117,FAHRENHEIT 5000,"Tabasco sauce, Absolut Peppar, Firewater, ",,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,"Tabasco sauce, Absolut Peppar, Firewater, ,"
118,FLYING SCOTCHMAN,"Sugar syrup, Bitters, Sweet Vermouth, Scotch, ",,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Sugar syrup, Bitters, Sweet Vermouth, Scotch, ,"
119,FRENCH CONNECTION,"Amaretto, Cognac, ",,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,"Amaretto, Cognac, ,"
120,FLAMING DR. PEPPER,"Beer, Dr. Pepper, 151 proof rum, Vodka, Amaretto, ",,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer","Beer, Dr. Pepper, 151 proof rum, Vodka, Amaretto, ,"
121,FLANDER'S FLAKE-OUT,"Sarsaparilla, Sambuca, ",,Bang 'em both in.,"Sarsaparilla, Sambuca, ,"
122,FLAMING LAMBORGHINI,"Baileys irish cream, Blue Curacao, Sambuca, Kahlua, ",,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!","Baileys irish cream, Blue Curacao, Sambuca, Kahlua, ,"
123,FROZEN MINT DAIQUIRI,"Sugar, Mint, Lime juice, Light rum, ",,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,"Sugar, Mint, Lime juice, Light rum, ,"
124,FROZEN PINEAPPLE DAIQUIRI,"Sugar, Lime juice, Pineapple, Light rum, ",,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,"Sugar, Lime juice, Pineapple, Light rum, ,"
125,GIMLET,"Lime, Sugar Syrup, Lime Juice, Gin, ",,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.","Lime, Sugar Syrup, Lime Juice, Gin, ,"
126,GIN FIZZ,"Carbonated water, Powdered sugar, Lemon, Gin, ",,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.","Carbonated water, Powdered sugar, Lemon, Gin, ,"
127,GIN SOUR,"Maraschino cherry, Orange, Sugar, Lemon juice, Gin, ",,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","Maraschino cherry, Orange, Sugar, Lemon juice, Gin, ,"
128,GODCHILD,"Heavy cream, Amaretto, Vodka, ",,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.","Heavy cream, Amaretto, Vodka, ,"
129,GIN DAISY,"Orange, Maraschino cherry, Grenadine, Sugar, Lemon juice, Gin, ",,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.","Orange, Maraschino cherry, Grenadine, Sugar, Lemon juice, Gin, ,"
130,GIN SLING,"Orange peel, Water, Powdered sugar, Lemon, Gin, ",,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,"Orange peel, Water, Powdered sugar, Lemon, Gin, ,"
131,GIN SMASH,"Cherry, Orange, Mint, Sugar, Carbonated water, Gin, ",,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.","Cherry, Orange, Mint, Sugar, Carbonated water, Gin, ,"
132,GIN TODDY,"Lemon peel, Powdered sugar, Water, Gin, ",,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.","Lemon peel, Powdered sugar, Water, Gin, ,"
133,GODFATHER,"Amaretto, Scotch, ",,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,"Amaretto, Scotch, ,"
134,GODMOTHER,"Amaretto, Vodka, ",,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,"Amaretto, Vodka, ,"
135,GAGLIARDO,"Sirup of roses, Galliano, Lemon juice, Peach Vodka, ",,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.","Sirup of roses, Galliano, Lemon juice, Peach Vodka, ,"
136,GREYHOUND,"Grapefruit Juice, Vodka, ",,"Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

","Grapefruit Juice, Vodka, ,"
137,GIN COOLER,"Lemon peel, Orange spiral, Powdered sugar, Carbonated water, Gin, ",,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,"Lemon peel, Orange spiral, Powdered sugar, Carbonated water, Gin, ,"
138,GIN SQUIRT,"Carbonated water, Strawberries, Pineapple, Powdered sugar, Grenadine, Gin, ",,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.","Carbonated water, Strawberries, Pineapple, Powdered sugar, Grenadine, Gin, ,"
139,GRAND BLUE,"Sweet and sour, Blue Curacao, Peach schnapps, Malibu rum, ",,Serve in an old fashioned glass.,"Sweet and sour, Blue Curacao, Peach schnapps, Malibu rum, ,"
140,GIN RICKEY,"Lime, Soda Water, lemon, Grenadine, Gin, ",,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,"Lime, Soda Water, lemon, Grenadine, Gin, ,"
141,GIN SWIZZLE,"Club soda, Bitters, Gin, Sugar, Lime juice, ",,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.","Club soda, Bitters, Gin, Sugar, Lime juice, ,"
142,GRASS SKIRT,"Pineapple, Grenadine, Pineapple juice, Triple sec, Gin, ",,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.","Pineapple, Grenadine, Pineapple juice, Triple sec, Gin, ,"
143,GRIM REAPER,"Grenadine, 151 proof rum, Kahlua, ",,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,"Grenadine, 151 proof rum, Kahlua, ,"
144,GRASSHOPPER,"Light cream, Creme de Cacao, Green Creme de Menthe, ",,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,"Light cream, Creme de Cacao, Green Creme de Menthe, ,"
145,GRIZZLY BEAR,"Milk, Kahlua, Jägermeister, Amaretto, ",,"Served over ice. Sounds nasty, but tastes great.","Milk, Kahlua, Jägermeister, Amaretto, ,"
146,GREEN GOBLIN,"Blue Curacao, Lager, Cider, ",,"Cider First, Lager then Curacao","Blue Curacao, Lager, Cider, ,"
147,GOLDEN DREAM,"Cream, orange juice, Triple Sec, Galliano, ",,Shake with cracked ice. Strain into glass and serve.,"Cream, orange juice, Triple Sec, Galliano, ,"
148,H.D.,"Coffee, Baileys irish cream, Whisky, ",,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,"Coffee, Baileys irish cream, Whisky, ,"
149,HONEY BEE,"Lemon Juice, Honey, White Rum, ",,"Shake ingredients with crushed ice
","Lemon Juice, Honey, White Rum, ,"
150,HERBAL FLAME,"Tea, Hot Damn, ",,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.","Tea, Hot Damn, ,"
151,HORSE'S NECK,"Bitters, Ginger ale, Brandy, Lemon peel, ",,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.","Bitters, Ginger ale, Brandy, Lemon peel, ,"
152,HAPPY SKIPPER,"Ice, Lime, Ginger ale, Spiced rum, ",,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)","Ice, Lime, Ginger ale, Spiced rum, ,"
153,HUNTER'S MOON,"Blackberries, Lemonade, Sugar Syrup, Maraschino Cherry, Vermouth, ",,"Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.","Blackberries, Lemonade, Sugar Syrup, Maraschino Cherry, Vermouth, ,"
154,HAVANA COCKTAIL,"Lemon juice, Pineapple juice, Light rum, ",,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Lemon juice, Pineapple juice, Light rum, ,"
155,HOT CREAMY BUSH,"Coffee, Baileys irish cream, Irish whiskey, ",,Combine all ingredients in glass,"Coffee, Baileys irish cream, Irish whiskey, ,"
156,HOMEMADE KAHLUA,"Vodka, Water, Vanilla extract, Coffee, Corn syrup, Sugar, ",,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.","Vodka, Water, Vanilla extract, Coffee, Corn syrup, Sugar, ,"
157,HALLOWEEN PUNCH,"Vodka, Ginger, Cloves, Red Chili Flakes, Orange Peel, Cherry Juice, ",,"Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan. Simmer for 5 mins, then turn off the heat. Leave to cool, then chill for at least 4 hrs, or up to 2 days – the longer you leave it the more intense the flavours. If serving to young children, take the chilli out after a few hours.

When you’re ready to serve, pour the juice into a jug. Serve in glass bottles or glasses and pop a straw in each. If you're adding vodka, do so at this stage. Dangle a fangs sweet from each glass.","Vodka, Ginger, Cloves, Red Chili Flakes, Orange Peel, Cherry Juice, ,"
158,HARVEY WALLBANGER,"Orange juice, Galliano, Vodka, ",,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.","Orange juice, Galliano, Vodka, ,"
159,HAWAIIAN COCKTAIL,"Pineapple juice, Triple sec, Gin, ",,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Pineapple juice, Triple sec, Gin, ,"
160,HEMINGWAY SPECIAL,"Lime Juice, Maraschino Liqueur, Grapefruit Juice, Rum, ",,Pour all ingredients into a shaker with ice. Shake.,"Lime Juice, Maraschino Liqueur, Grapefruit Juice, Rum, ,"
161,HIGHLAND FLING COCKTAIL,"Olive, Orange bitters, Sweet Vermouth, Scotch, ",,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,"Olive, Orange bitters, Sweet Vermouth, Scotch, ,"
162,IRISH CREAM,"Chocolate syrup, Coconut syrup, Condensed milk, Half-and-half, Scotch, ",,Mix scotch and milk. Add half-and-half. Add rest.,"Chocolate syrup, Coconut syrup, Condensed milk, Half-and-half, Scotch, ,"
163,ICE PICK #1,"Lemon juice, Iced tea, Vodka, ",,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,"Lemon juice, Iced tea, Vodka, ,"
164,IRISH SPRING,"Cherry, Orange, Sweet and sour, Orange juice, Peach brandy, Irish whiskey, ",,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.","Cherry, Orange, Sweet and sour, Orange juice, Peach brandy, Irish whiskey, ,"
165,IRISH COFFEE,"Whipped cream, Sugar, Coffee, Irish whiskey, ",,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.","Whipped cream, Sugar, Coffee, Irish whiskey, ,"
166,IMPERIAL FIZZ,"Carbonated water, Powdered sugar, Lemon, Blended whiskey, Light rum, ",,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","Carbonated water, Powdered sugar, Lemon, Blended whiskey, Light rum, ,"
167,IRISH RUSSIAN,"Guinness stout, Coca-Cola, Kahlua, Vodka, ",,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,"Guinness stout, Coca-Cola, Kahlua, Vodka, ,"
168,IMPERIAL COCKTAIL,"Aperol, Gin, Lime juice, ",,Shake with ice and strain into cocktail glass.,"Aperol, Gin, Lime juice, ,"
169,ICED COFFEE FILLIP,"Coffee, Kahlua, ",,Mix together in a coffee mug and chill before serving.,"Coffee, Kahlua, ,"
170,IRISH CURDLING COW,"Orange juice, Vodka, Bourbon, Baileys irish cream, ",,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.","Orange juice, Vodka, Bourbon, Baileys irish cream, ,"
171,JITTERBUG,"Soda water, Sugar syrup, Sugar, Lime juice, Grenadine, Vodka, Gin, ",,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!","Soda water, Sugar syrup, Sugar, Lime juice, Grenadine, Vodka, Gin, ,"
172,JAM DONUT,"Sugar, Sugar syrup, Chambord raspberry liqueur, Baileys irish cream, ",,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.","Sugar, Sugar syrup, Chambord raspberry liqueur, Baileys irish cream, ,"
173,JELLY BEAN,"Anis, Blackberry brandy, ",,mix equal parts in pony glass-tastes just like a jelly bean!,"Anis, Blackberry brandy, ,"
174,JACKHAMMER,"Amaretto, Jack Daniels, ",,"Serve over ice- Warning,Deadly!","Amaretto, Jack Daniels, ,"
175,JELLO SHOTS,"Water, Jello, Vodka, ",,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...","Water, Jello, Vodka, ,"
176,JOHN COLLINS,"Orange, Maraschino cherry, Club soda, Sugar, Lemon juice, Bourbon, ",,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,"Orange, Maraschino cherry, Club soda, Sugar, Lemon juice, Bourbon, ,"
177,JAMAICA KISS,"Milk, Ice, Light rum, Coffee liqueur, ",,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,"Milk, Ice, Light rum, Coffee liqueur, ,"
178,JAPANESE FIZZ,"Carbonated water, Egg white, Port, Powdered sugar, Lemon, Blended whiskey, ",,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","Carbonated water, Egg white, Port, Powdered sugar, Lemon, Blended whiskey, ,"
179,JAMAICAN COFFEE,"Whipped cream, Water, Coffee, Rum, ",,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.","Whipped cream, Water, Coffee, Rum, ,"
180,JEWEL OF THE NILE,"Yellow Chartreuse, Green Chartreuse, Gin, ",,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Yellow Chartreuse, Green Chartreuse, Gin, ,"
181,JACK ROSE COCKTAIL,"Lime, Grenadine, Apple brandy, ",,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Lime, Grenadine, Apple brandy, ,"
182,JACK'S VANILLA COKE,"Coca-Cola, Vanilla extract, Tennessee whiskey, Ice, ",,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.","Coca-Cola, Vanilla extract, Tennessee whiskey, Ice, ,"
184,KARSK,"Grain alcohol, Coffee, ",,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.","Grain alcohol, Coffee, ,"
185,KAMIKAZE,"Lime juice, Triple sec, Vodka, ",,"Shake all ingredients together with ice. Strain into glass, garnish and serve.","Lime juice, Triple sec, Vodka, ,"
187,KURANT TEA,"Sugar, Tea, Absolut Kurant, ",,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!","Sugar, Tea, Absolut Kurant, ,"
188,KIWI LEMON,"Ice, Bitter lemon, Kiwi liqueur, ",,Mix in highball glass. Stirr. Garnish with slice of kiwi.,"Ice, Bitter lemon, Kiwi liqueur, ,"
189,KIOKI COFFEE,"Coffee, Brandy, Kahlua, ",,Stir. Add whipped cream to the top.,"Coffee, Brandy, Kahlua, ,"
190,KOOL-AID SHOT,"Cranberry juice, Triple sec, Sloe gin, Amaretto, Vodka, ",,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,"Cranberry juice, Triple sec, Sloe gin, Amaretto, Vodka, ,"
191,KISS ME QUICK,"Ice, Apple juice, Schweppes Russchian, Apfelkorn, Cranberry vodka, ",,mix in the glass,"Ice, Apple juice, Schweppes Russchian, Apfelkorn, Cranberry vodka, ,"
192,KOOL FIRST AID,"Kool-Aid, 151 proof rum, ",,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.","Kool-Aid, 151 proof rum, ,"
193,KENTUCKY B AND B,"Benedictine, Bourbon, ",,Pour the bourbon and Benedictine into a brandy snifter.,"Benedictine, Bourbon, ,"
194,KENTUCKY COLONEL,"Lemon peel, Benedictine, Bourbon, ",,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,"Lemon peel, Benedictine, Bourbon, ,"
195,KOOL-AID SLAMMER,"Vodka, Kool-Aid, ",,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.","Vodka, Kool-Aid, ,"
196,LUNCH BOX,"Orange juice, Amaretto, Beer, ",,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,"Orange juice, Amaretto, Beer, ,"
197,LEMON SHOT,"151 proof rum, Sugar, Lemon, Absolut Citron, Galliano, ",,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.","151 proof rum, Sugar, Lemon, Absolut Citron, Galliano, ,"
198,LONG VODKA,"Ice, Tonic water, Angostura bitters, Lime, Vodka, ",,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka","Ice, Tonic water, Angostura bitters, Lime, Vodka, ,"
199,LEMON DROP,"Lemon, Cointreau, Absolut Vodka, ",,Shake and strain into a chilled cocktail glass rimmed with sugar.,"Lemon, Cointreau, Absolut Vodka, ,"
200,LOCH LOMOND,"Lemon peel, Dry Vermouth, Drambuie, Scotch, ",,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.","Lemon peel, Dry Vermouth, Drambuie, Scotch, ,"
201,LONDON TOWN,"Orange bitters, Maraschino liqueur, Gin, ",,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Orange bitters, Maraschino liqueur, Gin, ,"
202,LORD AND LADY,"Tia maria, Dark rum, ",,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,"Tia maria, Dark rum, ,"
203,LIMONA CORONA,"Bacardi Limon, Corona, ",,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.","Bacardi Limon, Corona, ,"
204,LADY LOVE FIZZ,"Carbonated water, Egg white, Lemon, Powdered sugar, Light cream, Gin, ",,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.","Carbonated water, Egg white, Lemon, Powdered sugar, Light cream, Gin, ,"
205,LONG ISLAND TEA,"Coca-Cola, Lemon, Tequila, Gin, Light rum, Vodka, ",,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,"Coca-Cola, Lemon, Tequila, Gin, Light rum, Vodka, ,"
206,LONE TREE COOLER,"Lemon peel, Orange spiral, Powdered sugar, Dry Vermouth, Gin, Carbonated water, ",,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.","Lemon peel, Orange spiral, Powdered sugar, Dry Vermouth, Gin, Carbonated water, ,"
207,LONE TREE COCKTAIL,"Gin, Sweet Vermouth, ",,"Stir ingredients with ice, strain into a cocktail glass, and serve.","Gin, Sweet Vermouth, ,"
208,LAZY COCONUT PALOMA,"Soda Water, Grapefruit Juice, Coconut Liqueur, ",,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,"Soda Water, Grapefruit Juice, Coconut Liqueur, ,"
209,LONG ISLAND ICED TEA,"Lemon peel, Coca-Cola, Gin, Light rum, Tequila, Vodka, ",,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,"Lemon peel, Coca-Cola, Gin, Light rum, Tequila, Vodka, ,"
210,MOJITO,"Soda water, Mint, Sugar, Lime, Light rum, ",,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,"Soda water, Mint, Sugar, Lime, Light rum, ,"
211,MIMOSA,"Orange juice, Champagne, ",,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.","Orange juice, Champagne, ,"
212,MAI TAI,"Cherry, Sweet and sour, Triple sec, Orgeat syrup, Light rum, ",,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,"Cherry, Sweet and sour, Triple sec, Orgeat syrup, Light rum, ,"
213,MARTINI,"Olive, Dry Vermouth, Gin, ",,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","Olive, Dry Vermouth, Gin, ,"
216,MOJITO #3,"Angostura bitters, Club soda, Dark rum, Lemon juice, Mint, ",,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.","Angostura bitters, Club soda, Dark rum, Lemon juice, Mint, ,"
217,MICHELADA,"Soy Sauce, Worcestershire Sauce, Hot Sauce, Lime Juice, Tomato Juice, Beer, ",,"Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
","Soy Sauce, Worcestershire Sauce, Hot Sauce, Lime Juice, Tomato Juice, Beer, ,"
218,MIAMI VICE,"Daiquiri mix, Pina colada mix, 151 proof rum, ",,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).","Daiquiri mix, Pina colada mix, 151 proof rum, ,"
219,MUDSLINGER,"Pepsi Cola, Orange juice, Southern Comfort, ",,Add all contents to a large jug or punch bowl. Stir well!,"Pepsi Cola, Orange juice, Southern Comfort, ,"
220,MORANGUITO,"Grenadine, Tequila, Absinthe, ",,"first you put rhe absinthe, then put tequila, then put the Granadine syrup.","Grenadine, Tequila, Absinthe, ,"
221,MINT JULEP,"Water, Powdered sugar, Bourbon, Mint, ",,"In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.","Water, Powdered sugar, Bourbon, Mint, ,"
222,MARTINEZ 2,"Angostura Bitters, Maraschino Liqueur, Sweet Vermouth, Gin, ",,"Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass.","Angostura Bitters, Maraschino Liqueur, Sweet Vermouth, Gin, ,"
223,MULLED WINE,"Brandy, Red wine, Lemon peel, Cinnamon, Cloves, Sugar, Water, ",,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.","Brandy, Red wine, Lemon peel, Cinnamon, Cloves, Sugar, Water, ,"
224,MOSCOW MULE,"Ginger ale, Lime juice, Vodka, ",,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,"Ginger ale, Lime juice, Vodka, ,"
